ID,SPACE,TYPE,HR,HER2,Eligibility,TNM Staging
1,MED ONC,Adjuvant,POSITIVE,POSITIVE,* Stage I/II with nonpCR OR stage III (pCR or not) to be enrolled <90 days from completion of HP/TDM1<br><br>* TWO cohorts depending on HLA-A*02,"T1 N0 M0, T2 N0 M0, T3 N0 M0, T1 N1 M0, T2 N1 M0, T3 N1 M0, T0 N2 M0, T1 N2 M0, T2 N2 M0, T3 N2 M0, T4 N0 M0, T4 N1 M0, T4 N2 M0, Any T N3 M0"
2,MED ONC,Adjuvant,NEGATIVE,POSITIVE,* Stage I/II with nonpCR OR stage III (pCR or not) to be enrolled <90 days from completion of HP/TDM1<br><br>* TWO cohorts depending on HLA-A*02,"T1 N0 M0, T2 N0 M0, T3 N0 M0, T1 N1 M0, T2 N1 M0, T3 N1 M0, T0 N2 M0, T1 N2 M0, T2 N2 M0, T3 N2 M0, T4 N0 M0, T4 N1 M0, T4 N2 M0, Any T N3 M0"
3,MED ONC,Neoadjuvant,POSITIVE,NEGATIVE,"* 1ry 20mm or more (T2 N0 and higher) by exam or imaging. Excludes IBC and BL cancers<br><br>* High Risk ER+ (Grade III, Age <50, ER < 6/8 OR Ki67 >29%). Will receive weekly Taxol with ddAC","T2 N0, T2 N1, T2 N2, T3 N0, T3 N1, T3 N2"
4,MED ONC,Neoadjuvant,POSITIVE,POSITIVE,* 1ry 20mm or more (T2 N0 and higher) by exam or imaging. Excludes IBC and BL cancers<br><br>* Will receive weekly Taxol HP with ddAC,"T2 N0, T2 N1, T2 N2, T3 N0, T3 N1, T3 N2"
5,MED ONC,Neoadjuvant,NEGATIVE,POSITIVE,* 1ry 20mm or more (T2 N0 and higher) by exam or imaging. Excludes IBC and BL cancers<br><br>* Will receive weekly Taxol HP with ddAC,"T2 N0, T2 N1, T2 N2, T3 N0, T3 N1, T3 N2"
6,MED ONC,Neoadjuvant,NEGATIVE,NEGATIVE,"* 1ry 20mm or more (T2 N0 and higher) by exam or imaging. Excludes IBC and BL cancers<br><br>* Will receive weekly Taxol with ddAC (Pembro added if indicated, Carbo added if T3)","T2 N0, T2 N1, T2 N2, T3 N0, T3 N1, T3 N2"
8,MED ONC,Neoadjuvant,POSITIVE,POSITIVE,* Stage IIB / III HER2+ Breast cancer receiving NACT. Stage IIA has to have 1ry > 15mm<br><br>* Low affinity CD16A Genotype FF or FV (Prior to enrollment) from germline PBMNs,"T2 N1, T2 N2, T3 N1, T3 N2"
9,MED ONC,Neoadjuvant,NEGATIVE,POSITIVE,* Stage IIB / III HER2+ Breast cancer receiving NACT. Stage IIA has to have 1ry > 15mm<br><br>* Low affinity CD16A Genotype FF or FV (Prior to enrollment) from germline PBMNs,"T2 N1, T2 N2, T3 N1, T3 N2"
14,MED ONC,Adjuvant,POSITIVE,POSITIVE,"* Prior NACT with 6 or more cycles of chemo (at least 9 weeks or THP). If was part of EA1181, must receive 2 more cycles of chemo<br><br>* ER+ must be ypN+ (1/2/3) with ypT1/2/3. Weak ER+ can be ypN0. Will be randomized to TDM1 vs TDM1 and Tucatinib. May receive 1 cycle adjuvant T-DM1 prior to registration",T1/2/3 N0/1/2/3
15,MED ONC,Adjuvant,NEGATIVE,POSITIVE,"* Prior NACT with 6 or more cycles of chemo (at least 9 weeks or THP). If was part of EA1181, must receive 2 more cycles of chemo<br><br>* ER- can be ypT1/2/3 with ypN0/1/2/3. Will be randomized to TDM1 vs TDM1 and Tucatinib. May receive 1 cycle adjuvant T-DM1 prior to registration",T1/2/3 N0/1/2/3
